iter	Passed	Remaining
0	2747	13732695
1	5188	12966421
2	7577	12621126
3	10120	12640529
4	12330	12318587
5	14587	12141434
6	17068	12174398
7	19841	12381092
8	22310	12372136
9	25090	12520030
10	27054	12270640
11	28966	12040608
12	31839	12214044
13	34479	12279757
14	36766	12218718
15	39057	12166561
16	41040	12029770
17	43284	11980104
18	45218	11854463
19	47187	11749806
20	49515	11739987
21	51847	11731567
22	53628	11604633
23	55579	11523496
24	57914	11524930
25	59861	11451970
26	61608	11347430
27	63377	11254049
28	65419	11213726
29	67123	11120147
30	69633	11161594
31	72193	11208002
32	73570	11073543
33	75854	11079203
34	77272	10961628
35	79780	11000823
36	82603	11080034
37	84826	11076505
38	86519	11005725
39	88206	10937592
40	89864	10869200
41	91841	10841711
42	94235	10863362
43	95838	10794852
44	98246	10818084
45	100165	10787399
46	101739	10721607
47	103606	10688741
48	105408	10650526
49	108089	10700841
50	110171	10690955
51	113036	10755818
52	115335	10765418
53	117643	10775291
54	119581	10751476
55	122025	10773148
56	124051	10757684
57	125876	10725583
58	128491	10760629
59	130709	10761775
60	132722	10746147
61	135237	10771035
62	137897	10806323
63	140157	10809612
64	142299	10803820
65	144826	10826877
66	146284	10770484
67	148802	10792577
68	150522	10756928
69	153453	10807528
70	154996	10760233
71	157237	10762031
72	159455	10762175
73	161243	10733608
74	163573	10741296
75	165812	10742899
76	167470	10707228
77	169907	10721586
78	172456	10742493
79	174069	10705294
80	176011	10688925
81	178349	10696617
82	180617	10699946
83	182590	10685908
84	185258	10712291
85	187279	10701067
86	189709	10713115
87	191573	10693264
88	193224	10662077
89	194898	10632776
90	197290	10642829
91	199104	10621817
92	201223	10617237
93	202834	10586247
94	204257	10546127
95	206613	10554516
96	208354	10531571
97	210669	10537750
98	212585	10524046
99	214996	10534813
100	217234	10536953
101	219297	10530582
102	221761	10543372
103	224266	10557783
104	226302	10550021
105	228724	10560161
106	230920	10559766
107	233159	10561279
108	235674	10575084
109	238038	10581881
110	240127	10576412
111	241895	10557020
112	244382	10568985
113	246530	10566211
114	248466	10554435
115	250199	10534251
116	252305	10529994
117	254279	10520256
118	256291	10512242
119	258953	10530789
120	261288	10535753
121	263666	10542338
122	266216	10555582
123	268253	10548403
124	269747	10520157
125	271917	10518441
126	273947	10511399
127	275870	10500334
128	278120	10501731
129	280106	10493208
130	282500	10499956
131	284691	10499095
132	286856	10497224
133	289077	10497399
134	290781	10478921
135	292005	10443481
136	294311	10446974
137	296355	10441155
138	298022	10422216
139	300052	10416092
140	302021	10407964
141	304099	10403626
142	306110	10397049
143	307889	10382703
144	309818	10373565
145	311436	10354182
146	313145	10338065
147	315070	10329205
148	317295	10330199
149	319726	10337830
150	322100	10343469
151	323818	10328104
152	326046	10329077
153	328418	10334517
154	330801	10340227
155	333204	10346426
156	334899	10330682
157	336386	10308746
158	338467	10305165
159	340495	10299975
160	342895	10306035
161	345328	10312960
162	347874	10323120
163	349981	10320193
164	352287	10323099
165	354278	10316765
166	356031	10303603
167	358306	10305566
168	360263	10298428
169	362574	10301375
170	364950	10306124
171	366890	10298533
172	368658	10286198
173	370977	10289306
174	372977	10283523
175	375134	10282084
176	377565	10288119
177	379226	10273201
178	381468	10274067
179	383946	10281223
180	386030	10277789
181	388023	10271958
182	390267	10272768
183	392428	10271386
184	394652	10271623
185	396832	10270713
186	399057	10270922
187	401577	10278665
188	403863	10280345
189	406056	10279651
190	408337	10281120
191	410768	10286335
192	412812	10281807
193	414855	10277306
194	416569	10264710
195	418830	10265632
196	421096	10266637
197	423566	10272558
198	425642	10268896
199	427332	10255976
200	429601	10257005
201	432323	10268753
202	434282	10262321
203	436879	10270961
204	438954	10267249
205	441246	10268610
206	443557	10270385
207	445729	10268920
208	447955	10268671
209	450178	10268361
210	451484	10247204
211	453714	10247096
212	456242	10253666
213	457984	10242598
214	460433	10247325
215	462164	10236096
216	464501	10238293
217	466407	10231002
218	468370	10225013
219	470451	10221632
220	472742	10222799
221	475002	10223261
222	477183	10222001
223	479357	10220588
224	481808	10225052
225	484021	10224412
226	486284	10224822
227	488327	10220615
228	490389	10216812
229	493196	10228462
230	495528	10230186
231	497661	10227796
232	499962	10228846
233	502423	10233111
234	504352	10226550
235	506495	10224334
236	508667	10222711
237	511040	10225097
238	513356	10226317
239	515094	10216038
240	517307	10215206
241	519362	10211259
242	521568	10210295
243	523743	10208708
244	526005	10208799
245	528172	10207034
246	530559	10209502
247	532949	10212007
248	535330	10214273
249	537565	10213738
250	539975	10216512
251	542182	10215405
252	544470	10215813
253	546853	10217983
254	548439	10205280
255	550485	10201180
256	552457	10195739
257	554518	10191959
258	556889	10193864
259	558976	10190575
260	561493	10195079
261	563464	10189672
262	565497	10185411
263	567711	10184406
264	570196	10188228
265	572499	10188768
266	574695	10187396
267	576468	10178532
268	578688	10177600
269	580950	10177393
270	583563	10183283
271	586015	10186333
272	588418	10188475
273	591095	10195314
274	593117	10190844
275	595380	10190499
276	597303	10184355
277	599307	10179611
278	601603	10179818
279	603834	10178932
280	606148	10179404
281	608645	10182944
282	611019	10184376
283	612980	10178923
284	614813	10171393
285	617326	10175102
286	619529	10173663
287	621594	10169984
288	623437	10162675
289	624878	10148892
290	627101	10147838
291	629075	10142771
292	630927	10135751
293	633610	10142085
294	635548	10136456
295	637878	10137097
296	640039	10135034
297	642106	10131485
298	644366	10130995
299	646129	10122701
300	648699	10127041
301	651243	10130937
302	653583	10131625
303	655873	10131521
304	657567	10122220
305	660000	10124318
306	662212	10123002
307	664356	10120653
308	666325	10115646
309	668151	10108490
310	670385	10107513
311	672534	10105258
312	674244	10096436
313	676516	10096035
314	678856	10096645
315	681003	10094362
316	683534	10097767
317	685690	10095603
318	687972	10095296
319	689935	10090302
320	691887	10085176
321	694170	10084876
322	696175	10080533
323	698151	10075789
324	699840	10066939
325	702004	10064939
326	703745	10056895
327	705885	10054563
328	708077	10052972
329	710145	10049634
330	712716	10053389
331	714788	10050103
332	717106	10050265
333	719177	10046953
334	721430	10046187
335	723216	10038933
336	725663	10040852
337	727605	10035793
338	729800	10034212
339	731805	10030036
340	734335	10033046
341	736649	10033076
342	738613	10028340
343	740576	10023615
344	742471	10017986
345	744477	10013872
346	746886	10015164
347	749154	10014552
348	751872	10019943
349	753662	10012949
350	755960	10012713
351	758152	10011053
352	760420	10010408
353	762713	10010081
354	764279	10000226
355	766517	9999176
356	767979	9988040
357	770273	9987742
358	772401	9985274
359	774681	9984782
360	776833	9982638
361	778992	9980571
