iter	Passed	Remaining
0	244	243843
1	420	209890
2	622	206922
3	821	204537
4	1002	199535
5	1206	199807
6	1391	197447
7	1584	196464
8	1783	196425
9	1989	196996
10	2186	196620
11	2378	195870
12	2575	195562
13	2774	195420
14	2963	194576
15	3159	194293
16	3361	194384
17	3565	194498
18	3778	195081
19	3960	194085
20	4146	193319
21	4336	192763
22	4515	191807
23	4677	190217
24	4845	188990
25	5026	188302
26	5222	188203
27	5412	187886
28	5590	187176
29	5776	186768
30	5985	187082
31	6169	186634
32	6354	186200
33	6572	186725
34	6780	186935
35	6983	187009
36	7191	187166
37	7354	186177
38	7567	186482
39	7753	186092
40	7943	185797
41	8153	185976
42	8341	185643
43	8529	185316
44	8708	184805
45	8924	185090
46	9111	184754
47	9296	184377
48	9467	183755
49	9651	183369
50	9829	182907
51	10036	182967
52	10225	182706
53	10437	182842
54	10639	182799
55	10842	182769
56	11051	182842
57	11245	182647
58	11425	182230
59	11642	182395
60	11822	181996
61	12017	181805
62	12223	181797
63	12428	181762
64	13223	190215
65	13400	189639
66	13591	189270
67	13768	188704
68	13969	188486
69	14186	188476
70	14387	188252
71	14590	188059
72	14765	187500
73	14934	186878
74	15144	186779
75	15328	186367
76	15519	186036
77	15729	185927
78	15930	185724
79	16135	185557
80	16318	185140
81	16515	184890
82	16692	184424
83	16888	184167
84	17086	183929
85	17286	183718
86	17499	183643
87	17692	183357
88	17874	182961
89	18059	182602
90	18255	182351
91	18443	182030
92	18640	181796
93	18829	181486
94	19018	181172
95	19211	180909
96	19399	180594
97	19592	180333
98	19761	179852
99	19943	179491
100	20128	179159
101	20315	178858
102	20510	178616
103	20693	178281
104	20860	177808
105	21032	177390
106	21212	177037
107	21383	176612
108	21563	176267
109	21755	176018
110	21934	175670
111	22118	175368
112	22291	174975
113	22469	174631
114	22644	174266
115	22856	174181
116	23033	173832
117	23204	173440
118	23398	173228
119	23603	173089
120	23793	172846
121	23996	172699
122	24192	172492
123	24380	172239
124	24576	172038
125	24760	171748
126	24952	171522
127	25143	171292
128	25326	171001
129	25517	170771
130	25703	170504
131	25881	170189
132	26067	169929
133	26248	169634
134	26427	169330
135	26601	168997
136	26802	168838
137	26990	168590
138	27173	168319
139	27349	168004
140	27532	167733
141	27767	167780
142	27937	167427
143	28127	167204
144	28325	167024
145	28498	166699
146	28682	166434
147	28882	166270
148	29075	166059
149	29251	165759
150	29431	165479
151	29620	165253
152	29816	165063
153	29990	164753
154	30186	164566
155	30357	164244
156	30537	163971
157	30726	163744
158	30949	163702
159	31139	163483
160	31337	163307
161	31525	163078
162	31708	162821
163	31890	162563
164	32101	162450
165	32302	162288
166	32481	162017
167	32683	161861
168	32834	161450
169	33026	161244
170	33210	161004
171	33408	160829
172	33616	160700
173	33803	160467
174	33973	160161
175	34156	159913
176	34353	159733
177	34526	159443
178	34696	159137
179	34875	158878
180	35086	158763
181	35270	158525
182	35452	158275
183	35644	158076
184	35836	157875
185	36002	157557
186	36202	157395
187	36415	157283
188	36586	156993
189	36770	156759
190	36967	156577
191	37171	156428
192	37357	156206
193	37549	156004
194	37729	155754
195	37929	155589
196	38121	155387
197	38294	155114
198	38466	154830
199	38654	154616
200	38834	154370
201	39026	154172
202	39211	153949
203	39403	153752
204	39585	153514
205	39757	153239
206	39957	153072
207	40132	152813
208	40315	152582
209	40515	152413
210	40713	152240
211	40914	152078
212	41108	151889
213	41279	151615
214	41466	151401
215	41677	151274
216	41864	151059
217	42054	150857
218	42244	150652
219	42428	150429
220	42607	150186
221	42806	150015
222	42983	149766
223	43162	149526
224	43349	149313
225	43533	149092
226	43729	148911
227	43930	148747
228	44121	148547
229	44305	148325
230	44498	148135
231	44704	147987
232	44878	147734
233	45056	147492
234	45236	147259
235	45414	147019
236	45594	146788
237	45790	146608
238	45986	146424
239	46161	146176
240	46351	145979
241	46529	145742
242	46720	145545
243	46915	145359
244	47104	145159
245	47298	144970
246	47469	144714
247	47642	144463
248	47815	144214
249	48026	144078
250	48205	143849
251	48380	143605
252	48555	143362
253	48751	143182
254	48927	142944
255	49102	142705
256	49287	142493
257	49480	142305
258	49651	142053
259	49832	141831
260	50023	141636
261	50210	141431
262	50410	141263
263	50602	141072
264	50767	140808
265	50941	140567
266	51143	140405
267	51360	140283
268	51552	140091
269	51742	139896
270	51945	139736
271	52159	139602
272	52344	139394
273	52507	139125
274	52699	138934
275	52896	138757
276	53083	138553
277	53299	138426
278	53487	138223
279	53667	138002
280	53852	137793
281	54040	137593
282	54215	137359
283	54392	137131
284	54573	136913
285	54745	136672
286	54934	136474
287	55121	136272
288	55320	136098
289	55513	135912
290	55705	135722
291	55901	135542
292	56102	135373
293	56296	135187
294	56472	134958
295	56653	134744
296	56845	134553
297	57016	134314
298	57235	134187
299	57431	134006
300	57614	133794
301	57816	133628
302	57994	133405
303	58178	133198
304	58354	132971
305	58536	132758
306	58717	132543
307	58896	132325
308	59111	132187
309	59287	131963
310	59499	131817
311	59673	131588
312	59845	131354
313	60027	131143
314	60218	130952
315	60421	130784
316	60599	130566
317	60779	130351
318	60982	130185
319	61158	129962
320	61347	129765
321	61517	129529
322	61698	129319
323	61880	129108
324	62099	128976
325	62293	128789
326	62496	128624
327	62681	128421
328	62866	128217
329	63042	127995
330	63242	127823
331	63426	127617
332	63613	127418
333	63781	127180
334	63969	126984
335	64162	126796
336	64359	126617
337	64530	126388
338	64734	126221
339	64935	126051
340	65119	125847
341	65311	125657
342	65488	125440
343	65688	125265
344	65867	125052
345	66056	124858
346	66262	124695
347	66443	124486
348	66661	124346
349	66862	124173
350	67071	124014
351	67286	123867
352	67473	123670
353	67669	123487
354	67871	123316
355	68056	123113
356	68248	122924
357	68421	122700
358	68613	122510
359	68829	122363
360	69023	122178
361	69201	121962
362	69390	121767
363	69575	121566
364	69759	121363
365	69930	121136
366	70130	120959
367	70319	120766
368	70486	120534
369	70695	120373
370	70866	120148
371	71052	119949
372	71224	119725
373	71405	119518
374	71581	119301
375	71753	119079
376	71925	118858
377	72122	118677
378	72324	118505
379	72514	118313
380	72719	118146
381	72911	117956
382	73085	117737
383	73269	117536
384	73461	117348
385	73644	117144
386	73843	116966
387	74026	116762
388	74208	116558
389	74430	116416
390	74608	116205
391	74804	116023
392	74985	115817
393	75193	115652
394	75374	115447
395	75562	115251
396	75759	115070
397	75954	114885
398	76139	114685
399	76336	114505
400	76520	114303
401	76694	114087
402	76880	113890
403	77064	113689
404	77244	113482
405	77420	113269
406	77627	113103
407	77823	112920
408	78000	112710
409	78179	112502
410	78363	112302
411	78521	112064
412	78721	111886
413	78897	111676
414	79087	111485
415	79273	111287
416	79464	111098
417	79626	110867
418	79842	110712
419	80017	110499
420	80213	110317
421	80397	110118
422	80613	109962
423	80801	109768
424	80982	109564
425	81157	109353
426	81328	109136
427	81513	108939
428	81701	108744
429	81882	108542
430	82060	108334
431	82235	108125
432	82424	107932
433	82610	107735
434	82806	107553
435	82978	107339
436	83180	107164
